Institution Type,Institution,Campus,County,FIPS,Institution Address,Latitude,Longitude,
TCAT,Livingston,Clay County High School,"Clay County, Tennessee",47027,"860 Clay County Hwy, Celina, TN 38551",36.559896,-85.519625,
TCAT,Livingston,Cookeville Higher Education Campus,"Putnam County, Tennessee",47141,"1000 Neal St, Cookeville, TN 38501",36.14578848,-85.48387244,
TCAT,Livingston,Fitzgerald Collision and  Repair Center  ,"Overton County, Tennessee",47133,"310 Oak Hill Rd, Livingston, TN 38570",36.289409,-85.362291,
TCAT,Livingston,Jackson County ISC,"Jackson County, Tennessee",47087,"255 Blue Devil Lane, Gainesboro, TN 38562",36.344595,-85.674094,
TCAT,Livingston,Main Campus,"Overton County, Tennessee",47133,"740 Hi Tech Dr, Livingston, TN 38570",36.39648239,-85.31766697,
TCAT,Livingston,Pickett County High School,"Pickett County, Tennessee",47137,"130 Skyline Dr, Byrdstown, TN 38549",36.57690552,-85.13290233,
TCAT,McKenzie,Main Campus,"Carroll County, Tennessee",47017,"16940 Highland Dr, McKenzie, TN 38201",36.13705044,-88.49254147,
TCAT,McKenzie,Weakley County Personal Development Center,"Weakley County, Tennessee",47183,"8250 Highway 22, Dresden, TN 38225",36.279172,-88.695799,
TCAT,McMinnville,Coffee County High School,"Coffee County, Tennessee",47031,"100 Red Raider Dr, Manchester, TN 37355",35.447159,-86.094968,
TCAT,McMinnville,Coffee County Instructional Service Center,"Coffee County, Tennessee",47031,"91 Volunteer Pkwy, Manchester, TN 37355",35.44518994,-86.02824901,
TCAT,McMinnville,Main Campus,"Warren County, Tennessee",47177,"241 Vo Tech Dr, McMinnville, TN 37110",35.7019736,-85.74561531,
TCAT,McMinnville,VIAM Manufacturing Inc.,"Coffee County, Tennessee",47031,"87 Park Tower Dr, Manchester, TN 37355",35.441203,-86.020437,
TCAT,McMinnville,Warren County High School,"Warren County, Tennessee",47177,"199 Pioneer Lane, McMinnville, TN 37110",35.7019736,-85.74561531,
TCAT,Memphis,Main Campus,"Shelby County, Tennessee",47157,"550 Alabama Ave, Memphis, TN 38105",35.15014452,-90.03920698,
TCAT,Memphis,Memphis International Airport,"Shelby County, Tennessee",47157,"3435 Tchulahoma Rd., Memphis, TN 38118",35.055175,-89.95147,
TCAT,Memphis,TCAT Memphis Bartlett Extension Campus ,"Shelby County, Tennessee",47157,"3375 Appling Rd, Bartlett, TN 38133",35.217987,-89.809468,
TCAT,Morristown,Airport Extension ,"Hamblen County, Tennessee",47063,"340 Piper St, Morristown, TN 37814",36.18320222,-83.37266818,
TCAT,Morristown,Greene County Instructional Service Center,"Greene County, Tennessee",47059,"993 Hal Henard Road, Greeneville, TN 37743",36.156943,-82.878663,
TCAT,Morristown,Greene Technology Center Instructional Service Center,"Greene County, Tennessee",47059,"1121 Hal Henard Road, Greenville, TN 37743",36.155352,-82.880474,
TCAT,Morristown,Greeneville Instructional Service Center ,"Greene County, Tennessee",47059,"1420 Tusculum Blvd, Greeneville, TN 37743",36.173696,-82.789676,
TCAT,Morristown,Hawkins County Branch,"Hawkins County, Tennessee",47073,"323 Phipps Bend Rd, Surgoinsville, TN 37873",36.47753323,-82.81166975,
TCAT,Morristown,Main Campus,"Hamblen County, Tennessee",47063,"821 W Louise Ave, Morristown, TN 37813",36.20523921,-83.30028223,
TCAT,Morristown,Newport Instructional Service Center ,"Cocke County, Tennessee",47029,"216 Hedrick Drive Newport, TN 37821",35.963607,-83.196636,
TCAT,Morristown,Tazewell Instructional Service Center,"Claiborne County, Tennessee",47025,"1325 Claiborne Street, Tazewell, TN 37879",36.450811,-83.582414,
Community College,Motlow,Not Available for Community Colleges,"Franklin County, Tennessee",47051,"6015 Ledford Mill Rd, Tullahoma, TN 37388","35.366534601995035, ",-86.30085788,
TCAT,Murfreesboro,Main Campus,"Rutherford County, Tennessee",47149,"1303 Old Fort Pkwy #3311, Murfreesboro, TN 37129",35.84578288,-86.41018857,
TCAT,Murfreesboro,TCAT Murfreesboro-Nissan Training Center,"Rutherford County, Tennessee",47149,"663 Ken Pilkerton Dr, Smyrna, TN 37167",35.967531,-86.498301,
TCAT,Nashville,Main Campus,"Davidson County, Tennessee",47037,"100 White Bridge Pike, Nashville, TN 37209",36.1324946,-86.85647217,
TCAT,Nashville,Cockrill Bend,"Davidson County, Tennessee",47037,"7204 Cockrill Bend Road, Nashville, TN 37209",36.170774,-86.884811,
TCAT,Nashville,Nashville Technology Center- Extension Campus,"Davidson County, Tennessee",47037,"100 White Bridge Pike, Nashville, TN 37209",36.1324946,-86.85647217,
Community College,Nashville,Not Available for Community Colleges,"Davidson County, Tennessee",,"120 White Bridge Rd, Nashville, TN 37209",36.13477496,-86.85720511,
TCAT,Nashville,Portland High School,"Sumner County, Tennessee",47165,"600 College St, Portland, TN 37148",36.58257894,-86.53286151,
TCAT,Nashville,TCAT - Portland Campus,"Sumner County, Tennessee",47165,"602 South Broadway, Portland, TN 37148",36.572577,-86.511149,
TCAT,Nashville,Springfield,"Robertson County, Tennessee",47147,"104 7th Avenue West, Springfield, TN 37172",36.507772,-86.886373,
TCAT,Northwest,Dyer County High School,"Dyer County, Tennessee",47045,"934 W Main St, Newbern, TN 38059",36.102718,-89.291244,
TCAT,Northwest,Dyersburg High School,"Dyer County, Tennessee",47045,"125 US-51 BYP, Dyersburg, TN 38024",36.05586569,-89.38468665,
TCAT,Northwest,Main Campus,"Dyer County, Tennessee",47045,"340 Washington St, Newbern, TN 38059",36.119764,-89.256525,
TCAT,Northwest,Northwest Correctional Complex/Lake County Instructional Service Center,"Lake County, Tennessee",47095,"300 Cochran Street, Tiptonville, TN 38079",36.375221,-89.472185,
TCAT,Northwest,TCAT Newbern - Bells Campus,"Crockett County, Tennessee",47033,"6514 Highway 412, Bells, TN 38006",35.734775,-89.076943,
TCAT,Northwest,"Ripley Campus, Transportation Campus","Lauderdale County, Tennessee",47097,"127 Industrial Drive, Ripley, TN 38063",35.77999,-89.519458,
TCAT,Northwest,TCAT Newbern - Union City Campus,"Obion County, Tennessee",47131,"204 S 2nd St, Union City, TN 38261",36.42549245,-89.05776269,
Community College,Northeast,Not Available for Community Colleges,"Washington County, Tennessee",47179,"2425 TN-75, Blountville, TN 37617",36.48493304,-82.40898608,
TCAT,Oneida,Main Campus,"Scott County, Tennessee",47151,"355 Scott High Dr, Huntsville, TN 37756",36.40819122,-84.52816318,
TCAT,Oneida,Morgan County Career and Technical Center,"Morgan County, Tennessee",47129,"132 Flat Fork Rd, Wartburg, TN 37887",36.09948987,-84.55212117,
TCAT,Oneida,Morgan County Regional Correctional Complex,"Morgan County, Tennessee",47129,"541 Wayne Cotton Morgan Dr, Wartburg, TN 37887",36.11020853,-84.54120717,
TCAT,Oneida,Oneida Campus,"Scott County, Tennessee",47151,"180 Eli Lane, Oneida, TN 37841",36.504117,-84.529719,
TCAT,Oneida,Alvin C. York Agricultural Institute,"Fentress County, Tennessee",47049,"701 N Main St, Jamestown, TN 38556",36.444169,-84.937668,
TCAT,Henry/Carroll,Benton County Government Building,"Benton County, Tennessee",47005,"152 N Forrest Ave, Camden, TN 38320",36.06283716,-88.09670248,
TCAT,Henry/Carroll,Main Campus,"Henry County, Tennessee",47079,"312 S Wilson St, Paris, TN 38242",36.2963495,-88.29664244,
TCAT,Henry/Carroll,Weakley County Personal Development Center,"Weakley County, Tennessee",47183,"8250 Hwy 22, Dresden, TN 38225",36.278613,-88.695736,
Community College,Pellissippi,Not Available for Community Colleges,"Knox County, Tennessee",47093,"10915 Hardin Valley Rd, Knoxville, TN 37932",35.94880708,-84.16579402,
TCAT,Pulaski,Lawrenceburg Instructional Service Center,"Lawrence County, Tennessee",47099,"100 Hicks Street, Lawrenceburg, TN 38464",35.257433,-87.329704,
TCAT,Pulaski,Main Campus,"Giles County, Tennessee",47055,"1233 E College St, Pulaski, TN 38478",35.19120468,-87.00771171,
TCAT,Pulaski,North Lawrence Instructional Service Center Summertown High School,"Lawrence County, Tennessee",47099,"411 College Street, Summertown, TN 38483",35.433272,-87.30793,
TCAT,Pulaski,Northfield Instructional Service Center,"Maury County, Tennessee",47119,"100 Saturn Parkway in Spring Hill, Tennessee",35.744109,-86.958211,
TCAT,Pulaski,Lawrenceburn Instructional Service Center Lawrence County High School,"Lawrence County, Tennessee",47099,"1800 Springer Road, Lawrenceburg, TN 38464",35.258611,-87.313962,
TCAT,Pulaski,South Lawrence Instructional Service Center Loretto High School,"Lawrence County, Tennessee",47099,"1233 E College St, Pulaski, TN 38478",35.069515,-87.451498,
TCAT,Northwest,Crockett County Higher Education Center,"Crockett County, Tennessee",47033,"6514 Highway 412, Bells, TN 38006",35.734795,-89.07699,
TCAT,Northwest,Ripley Campus,"Lauderdale County, Tennessee",47097,"127 Industrial Dr, Ripley, TN 38063",35.77978757,-89.51933616,
