Year,Program,Six Digit,Program Category,Four Digit,Program Family,Two Digit,Institution Type,Institution,Campus,County,FIPS,Certificate,Diploma,Total Awards
2020-21,"Drafting and Design Technology/Technician, General",15.1301,Drafting/Design Engineering Technologies/Technicians,15.13,Engineering/Engineering-Related Technologies/Technicians,15,TCAT,Morristown,Main Campus,"Hamblen County, Tennessee",47063,2,8,10
2020-21,Electrician,46.0302,Electrical and Power Transmission Installers,46.03,Construction Trades,46,TCAT,Morristown,Main Campus,"Hamblen County, Tennessee",47063,2,12,14
2020-21,Building Construction Technology/Technician,46.0415,"Building/Construction Finishing, Management, and Inspection",46.04,Construction Trades,46,TCAT,Morristown,Main Campus,"Hamblen County, Tennessee",47063,2,4,6
2020-21,Pipefitting/Pipefitter and Sprinkler Fitter,46.0502,Plumbing and Related Water Supply Services,46.05,Construction Trades,46,TCAT,Morristown,Main Campus,"Hamblen County, Tennessee",47063,5,3,8
2020-21,"Heating, Air Conditioning, Ventilation and Refrigeration Maintenance Technology/Technician",47.0201,"Heating, Air Conditioning, Ventilation and Refrigeration Maintenance Technology/Technician (HAC, HACR, HVAC, HVACR)",47.02,Mechanic and Repair Technologies/Technicians,47,TCAT,Morristown,Main Campus,"Hamblen County, Tennessee",47063,3,11,14
2020-21,Industrial Mechanics and Maintenance Technology/Technician,47.0303,Heavy/Industrial Equipment Maintenance Technologies/Technicians,47.03,Mechanic and Repair Technologies/Technicians,47,TCAT,Morristown,Main Campus,"Hamblen County, Tennessee",47063,0,33,33
2020-21,Autobody/Collision and Repair Technology/Technician,47.0603,Vehicle Maintenance and Repair Technologies/Technicians,47.06,Mechanic and Repair Technologies/Technicians,47,TCAT,Morristown,Main Campus,"Hamblen County, Tennessee",47063,0,17,17
2020-21,Automobile/Automotive Mechanics Technology/Technician,47.0604,Vehicle Maintenance and Repair Technologies/Technicians,47.06,Mechanic and Repair Technologies/Technicians,47,TCAT,Morristown,Main Campus,"Hamblen County, Tennessee",47063,4,11,15
2020-21,Machine Tool Technology/Machinist,48.0501,Precision Metal Working,48.05,Precision Production,48,TCAT,Morristown,Main Campus,"Hamblen County, Tennessee",47063,1,3,4
2020-21,Welding Technology/Welder,48.0508,Precision Metal Working,48.05,Precision Production,48,TCAT,Morristown,Main Campus,"Hamblen County, Tennessee",47063,3,22,25
2020-21,Commercial and Advertising Art,50.0402,Design and Applied Arts,50.04,Visual and Performing Arts,50,TCAT,Morristown,Main Campus,"Hamblen County, Tennessee",47063,0,7,7
2020-21,Licensed Practical/Vocational Nurse Training,51.3901,"Practical Nursing, Vocational Nursing and Nursing Assistants",51.39,Health Professions and Related Programs,51,TCAT,Morristown,Main Campus,"Hamblen County, Tennessee",47063,0,39,39
2020-21,Executive Assistant/Executive Secretary,52.0402,Business Operations Support and Assistant Services,52.04,"Business, Management, Marketing, and Related Support Services",52,TCAT,Morristown,Main Campus,"Hamblen County, Tennessee",47063,3,12,15
2020-21,Licensed Practical/Vocational Nurse Training,51.3901,"Practical Nursing, Vocational Nursing and Nursing Assistants",51.39,Health Professions and Related Programs,51,TCAT,Morristown,Sevierville Instructional Service Center,"Sevier County, Tennessee",47155,0,11,11
2020-21,Licensed Practical/Vocational Nurse Training,51.3901,"Practical Nursing, Vocational Nursing and Nursing Assistants",51.39,Health Professions and Related Programs,51,TCAT,Morristown,Tazewell Instructional Service Center,"Claiborne County, Tennessee",47025,0,8,8
2020-21,"System, Networking, and LAN/WAN Management/Manager",11.1002,Computer/Information Technology Administration and Management,11.10,Computer and Information Sciences and Support Services,11,TCAT,Murfreesboro,Main Campus,"Rutherford County, Tennessee",47149,15,8,23
2020-21,"Cosmetology/Cosmetologist, General",12.0401,Cosmetology and Related Personal Grooming Services,12.04,"Culinary, Entertainment, and Personal Services",12,TCAT,Murfreesboro,Main Campus,"Rutherford County, Tennessee",47149,0,36,36
2020-21,"Cosmetology, Barber/Styling, and Nail Instructor",12.0413,Cosmetology and Related Personal Grooming Services,12.04,"Culinary, Entertainment, and Personal Services",12,TCAT,Murfreesboro,Main Campus,"Rutherford County, Tennessee",47149,2,0,2
2020-21,"Drafting and Design Technology/Technician, General",15.1301,Drafting/Design Engineering Technologies/Technicians,15.13,Engineering/Engineering-Related Technologies/Technicians,15,TCAT,Murfreesboro,Main Campus,"Rutherford County, Tennessee",47149,5,8,13
2020-21,Building Construction Technology/Technician,46.0415,"Building/Construction Finishing, Management, and Inspection",46.04,Construction Trades,46,TCAT,Murfreesboro,Main Campus,"Rutherford County, Tennessee",47149,2,24,26
2020-21,"Heating, Air Conditioning, Ventilation and Refrigeration Maintenance Technology/Technician",47.0201,"Heating, Air Conditioning, Ventilation and Refrigeration Maintenance Technology/Technician (HAC, HACR, HVAC, HVACR)",47.02,Mechanic and Repair Technologies/Technicians,47,TCAT,Murfreesboro,Main Campus,"Rutherford County, Tennessee",47149,3,12,15
2020-21,Commercial and Advertising Art,50.0402,Design and Applied Arts,50.04,Visual and Performing Arts,50,TCAT,Murfreesboro,Main Campus,"Rutherford County, Tennessee",47149,5,9,14
2020-21,Dental Assisting/Assistant,51.0601,Dental Support Services and Allied Professions,51.06,Health Professions and Related Programs,51,TCAT,Murfreesboro,Main Campus,"Rutherford County, Tennessee",47149,0,8,8
2020-21,Pharmacy Technician/Assistant,51.0805,Allied Health and Medical Assisting Services,51.08,Health Professions and Related Programs,51,TCAT,Murfreesboro,Main Campus,"Rutherford County, Tennessee",47149,4,19,23
2020-21,Surgical Technology/Technologist,51.0909,"Allied Health Diagnostic, Intervention, and Treatment Professions",51.09,Health Professions and Related Programs,51,TCAT,Murfreesboro,Main Campus,"Rutherford County, Tennessee",47149,0,19,19
2020-21,Sterile Processing Technology/Technician,51.1012,Clinical/Medical Laboratory Science/Research and Allied Professions,51.10,Health Professions and Related Programs,51,TCAT,Murfreesboro,Main Campus,"Rutherford County, Tennessee",47149,13,0,13
2020-21,Licensed Practical/Vocational Nurse Training,51.3901,"Practical Nursing, Vocational Nursing and Nursing Assistants",51.39,Health Professions and Related Programs,51,TCAT,Murfreesboro,Main Campus,"Rutherford County, Tennessee",47149,0,17,17
2020-21,Executive Assistant/Executive Secretary,52.0402,Business Operations Support and Assistant Services,52.04,"Business, Management, Marketing, and Related Support Services",52,TCAT,Murfreesboro,Main Campus,"Rutherford County, Tennessee",47149,13,6,19
2020-21,Industrial Mechanics and Maintenance Technology/Technician,47.0303,Heavy/Industrial Equipment Maintenance Technologies/Technicians,47.03,Mechanic and Repair Technologies/Technicians,47,TCAT,Murfreesboro,TCAT Murfreesboro-Nissan Training Center,"Rutherford County, Tennessee",47149,17,33,50
2020-21,Autobody/Collision and Repair Technology/Technician,47.0603,Vehicle Maintenance and Repair Technologies/Technicians,47.06,Mechanic and Repair Technologies/Technicians,47,TCAT,Murfreesboro,TCAT Murfreesboro-Nissan Training Center,"Rutherford County, Tennessee",47149,2,9,11
2020-21,Automobile/Automotive Mechanics Technology/Technician,47.0604,Vehicle Maintenance and Repair Technologies/Technicians,47.06,Mechanic and Repair Technologies/Technicians,47,TCAT,Murfreesboro,TCAT Murfreesboro-Nissan Training Center,"Rutherford County, Tennessee",47149,16,30,46
2020-21,Machine Tool Technology/Machinist,48.0501,Precision Metal Working,48.05,Precision Production,48,TCAT,Murfreesboro,TCAT Murfreesboro-Nissan Training Center,"Rutherford County, Tennessee",47149,2,14,16
2020-21,Welding Technology/Welder,48.0508,Precision Metal Working,48.05,Precision Production,48,TCAT,Murfreesboro,TCAT Murfreesboro-Nissan Training Center,"Rutherford County, Tennessee",47149,1,20,21
2020-21,Computer Support Specialist,11.1006,Computer/Information Technology Administration and Management,11.10,Computer and Information Sciences and Support Services,11,TCAT,Nashville,Main Campus,"Davidson County, Tennessee",47037,7,9,16
2020-21,"Cosmetology/Cosmetologist, General",12.0401,Cosmetology and Related Personal Grooming Services,12.04,"Culinary, Entertainment, and Personal Services",12,TCAT,Nashville,Main Campus,"Davidson County, Tennessee",47037,14,30,44
2020-21,Aesthetician/Esthetician and Skin Care Specialist,12.0409,Cosmetology and Related Personal Grooming Services,12.04,"Culinary, Entertainment, and Personal Services",12,TCAT,Nashville,Main Campus,"Davidson County, Tennessee",47037,26,0,26
2020-21,"Drafting and Design Technology/Technician, General",15.1301,Drafting/Design Engineering Technologies/Technicians,15.13,Engineering/Engineering-Related Technologies/Technicians,15,TCAT,Nashville,Main Campus,"Davidson County, Tennessee",47037,2,10,12
2020-21,Child Care Provider/Assistant,19.0709,"Human Development, Family Studies, and Related Services",19.07,Family and Consumer Sciences/Human Sciences,19,TCAT,Nashville,Main Campus,"Davidson County, Tennessee",47037,1,16,17
2020-21,Building Construction Technology/Technician,46.0415,"Building/Construction Finishing, Management, and Inspection",46.04,Construction Trades,46,TCAT,Nashville,Main Campus,"Davidson County, Tennessee",47037,8,14,22
2020-21,"Heating, Air Conditioning, Ventilation and Refrigeration Maintenance Technology/Technician",47.0201,"Heating, Air Conditioning, Ventilation and Refrigeration Maintenance Technology/Technician (HAC, HACR, HVAC, HVACR)",47.02,Mechanic and Repair Technologies/Technicians,47,TCAT,Nashville,Main Campus,"Davidson County, Tennessee",47037,1,41,42
2020-21,Autobody/Collision and Repair Technology/Technician,47.0603,Vehicle Maintenance and Repair Technologies/Technicians,47.06,Mechanic and Repair Technologies/Technicians,47,TCAT,Nashville,Main Campus,"Davidson County, Tennessee",47037,1,16,17
2020-21,Automobile/Automotive Mechanics Technology/Technician,47.0604,Vehicle Maintenance and Repair Technologies/Technicians,47.06,Mechanic and Repair Technologies/Technicians,47,TCAT,Nashville,Main Campus,"Davidson County, Tennessee",47037,0,2,2
2020-21,Diesel Mechanics Technology/Technician,47.0605,Vehicle Maintenance and Repair Technologies/Technicians,47.06,Mechanic and Repair Technologies/Technicians,47,TCAT,Nashville,Main Campus,"Davidson County, Tennessee",47037,6,14,20
2020-21,Machine Tool Technology/Machinist,48.0501,Precision Metal Working,48.05,Precision Production,48,TCAT,Nashville,Main Campus,"Davidson County, Tennessee",47037,4,8,12
2020-21,Welding Technology/Welder,48.0508,Precision Metal Working,48.05,Precision Production,48,TCAT,Nashville,Main Campus,"Davidson County, Tennessee",47037,8,22,30
2020-21,Dental Assisting/Assistant,51.0601,Dental Support Services and Allied Professions,51.06,Health Professions and Related Programs,51,TCAT,Nashville,Main Campus,"Davidson County, Tennessee",47037,0,19,19
2020-21,Dental Laboratory Technology/Technician,51.0603,Dental Support Services and Allied Professions,51.06,Health Professions and Related Programs,51,TCAT,Nashville,Main Campus,"Davidson County, Tennessee",47037,0,4,4
2020-21,Licensed Practical/Vocational Nurse Training,51.3901,"Practical Nursing, Vocational Nursing and Nursing Assistants",51.39,Health Professions and Related Programs,51,TCAT,Nashville,Main Campus,"Davidson County, Tennessee",47037,5,47,52
2020-21,Executive Assistant/Executive Secretary,52.0402,Business Operations Support and Assistant Services,52.04,"Business, Management, Marketing, and Related Support Services",52,TCAT,Nashville,Main Campus,"Davidson County, Tennessee",47037,8,9,17
2020-21,Airframe Mechanics and Aircraft Maintenance Technology/Technician,47.0607,Vehicle Maintenance and Repair Technologies/Technicians,47.06,Mechanic and Repair Technologies/Technicians,47,TCAT,Nashville,Nashville Technology Center- Extension Campus,"Davidson County, Tennessee",47037,0,9,9
2020-21,Aircraft Powerplant Technology/Technician,47.0608,Vehicle Maintenance and Repair Technologies/Technicians,47.06,Mechanic and Repair Technologies/Technicians,47,TCAT,Nashville,Nashville Technology Center- Extension Campus,"Davidson County, Tennessee",47037,0,14,14
2020-21,Computer Support Specialist,11.1006,Computer/Information Technology Administration and Management,11.10,Computer and Information Sciences and Support Services,11,TCAT,Nashville,Portland High School,"Sumner County, Tennessee",47165,5,2,7
2020-21,"Cosmetology/Cosmetologist, General",12.0401,Cosmetology and Related Personal Grooming Services,12.04,"Culinary, Entertainment, and Personal Services",12,TCAT,Nashville,Portland High School,"Sumner County, Tennessee",47165,3,0,3
2020-21,Machine Tool Technology/Machinist,48.0501,Precision Metal Working,48.05,Precision Production,48,TCAT,Nashville,Portland High School,"Sumner County, Tennessee",47165,2,0,2
2020-21,Welding Technology/Welder,48.0508,Precision Metal Working,48.05,Precision Production,48,TCAT,Nashville,Portland High School,"Sumner County, Tennessee",47165,11,2,13
2020-21,Computer Support Specialist,11.1006,Computer/Information Technology Administration and Management,11.10,Computer and Information Sciences and Support Services,11,TCAT,Nashville,TCAT - Portland Campus,"Sumner County, Tennessee",47165,4,4,8
2020-21,"Cosmetology/Cosmetologist, General",12.0401,Cosmetology and Related Personal Grooming Services,12.04,"Culinary, Entertainment, and Personal Services",12,TCAT,Nashville,TCAT - Portland Campus,"Sumner County, Tennessee",47165,2,14,16
2020-21,Manufacturing Engineering Technology/Technician,15.0613,Industrial Production Technologies/Technicians,15.06,Engineering/Engineering-Related Technologies/Technicians,15,TCAT,Nashville,TCAT - Portland Campus,"Sumner County, Tennessee",47165,0,6,6
